,timeus,volt,voltr,curr,currtot,enrgtot,temp,res,vcc,vservo,flags,safety
2809,3309668822.0,21.70993,22.75813,48.49641,4137.36,91.68743,0.0,0.02161398,4.737305,1.242,1.0,6.0
2810,3309774731.0,21.7253,22.74524,47.18882,4138.761,91.71787,0.0,0.02161398,4.896826,1.8,1.0,6.0
2811,3309879592.0,21.75523,22.75023,46.04508,4140.078,91.74651,0.0,0.02160918,4.737305,1.817,1.0,6.0
2812,3309983561.0,21.75928,22.76051,46.31816,4141.429,91.77591,0.0,0.02161655,4.893603,1.817,1.0,6.0
2813,3310087610.0,21.75361,22.70211,43.99535,4142.689,91.80331,0.0,0.02155895,4.763086,1.819,1.0,6.0
2814,3310190850.0,21.7431,22.6889,43.99214,4143.953,91.8308,0.0,0.0214993,4.803369,1.819,1.0,6.0
2815,3310294578.0,21.74921,22.70887,44.6893,4145.244,91.85889,0.0,0.02147403,4.813037,0.7270001,1.0,6.0
2816,3310399860.0,21.73339,22.69574,44.8146,4146.57,91.88771,0.0,0.02147403,4.858154,1.271,1.0,6.0
2817,3310504729.0,21.73339,22.69188,44.63469,4147.85,91.91553,0.0,0.02147403,4.980615,1.817,1.0,6.0
2818,3310608848.0,21.72045,22.70143,45.64349,4149.182,91.94445,0.0,0.02149223,4.81626,1.817,1.0,6.0
2819,3310713235.0,21.73986,22.69903,44.6636,4150.469,91.97243,0.0,0.02147532,4.975781,1.817,1.0,6.0
2820,3310817859.0,21.7439,22.72039,45.47001,4151.801,92.00141,0.0,0.02147532,4.790478,0.749,1.0,6.0
2821,3310922197.0,21.70022,22.69842,46.44346,4153.132,92.0303,0.0,0.02149272,4.938721,1.242,1.0,6.0
2822,3311026572.0,21.70669,22.71254,46.80329,4154.505,92.06009,0.0,0.02149094,4.703467,1.819,1.0,6.0
2823,3311131970.0,21.69294,22.68931,46.30532,4155.858,92.08945,0.0,0.02151734,4.895215,1.817,1.0,6.0
2824,3311236472.0,21.6978,22.69636,46.376,4157.195,92.11846,0.0,0.02153188,4.703467,1.819,1.0,6.0
2825,3311339508.0,21.67191,22.68832,47.15598,4158.535,92.14751,0.0,0.02155427,4.708301,0.7,1.0,6.0
2826,3311443805.0,21.69375,22.7123,47.27556,4159.931,92.17779,0.0,0.02154502,4.690576,1.208,1.0,6.0
2827,3311549509.0,21.69213,22.68999,46.31495,4161.284,92.20713,0.0,0.02154502,4.858154,1.817,1.0,6.0
2828,3311653112.0,21.70669,22.69939,46.08364,4162.591,92.2355,0.0,0.02154125,4.750195,1.817,1.0,6.0
2829,3311755606.0,21.68728,22.69367,46.69727,4163.926,92.26445,0.0,0.02155145,4.800147,1.817,1.0,6.0
2830,3311860325.0,21.71802,22.6954,45.36398,4165.269,92.29361,0.0,0.02154528,4.819482,0.703,1.0,6.0
