Trajectory Type,Speed,Wind X,Wind Y,Motor Affected,Full Loss,Partial Loss,Turbulence,Saturation RPM,Mean TTE,Sum TTE,Max TTE,Median TTE,Std TTE,TTF,TTC,Completed,TOC,Cross Corridor,Variance,Final SOC
square,4.13764732174439,14.6700534211459,10.6495310423687,2,1,0,0,0,2.43877120080301,23470.7340365282,81.0776641504787,0.236643205086903,11.9954921659077,96.24,NaN,0,5.6,1,0.000270650359958884,0.891246961648169
square,3.02380413900248,14.6700534211459,10.6495310423687,2,1,0,1,0,2.83376524436836,36680.2573231041,77.7038388835649,1.36218666363745,8.73447796477434,129.44,NaN,0,23.06,2,0.000253909627005664,0.860878565524437
triangle,3.62243008408961,0,0,3,1,0,0,0,2.23520740449999,26831.4296836179,3.76588777035769,2.14149454879145,0.97971107580904,NaN,120.03,1,72.86,3,0.00063183110329785,0.875273149400473
triangle,3.33129745899956,0,0,3,1,0,1,0,2.36298533660103,30600.6601089833,4.10131086716569,2.1154163529497,1.09265518252458,NaN,129.49,1,83.99,3,0.000539956656321365,0.866429053364796
triangle,4.37842900628002,1.31485642270072,3.27039549238391,3,1,0,0,0,2.26503961391612,23520.171350905,3.51083690081806,2.5045026953201,0.84142167224236,NaN,103.83,1,71.14,3,0.000873860991867456,0.89078843465019
square,3.901083197005,1.31485642270072,3.27039549238391,3,1,0,1,0,1.61652702951446,18902.0505561126,3.65890153379074,1.53337263081745,1.04992502056215,NaN,116.92,1,39.57,2,0.000658203556649854,0.877094787131869
triangle,3.30475603793845,6.14488484358409,9.56668680750835,3,1,0,0,0,43.5248459954311,1234799.88089038,83.9538677734819,35.2494395639081,17.9568660540279,283.7,NaN,0,281.06,1,0.000144835348531951,0.710939568907207
triangle,4.07668487052011,6.14488484358409,9.56668680750835,3,1,0,1,0,76.3713562427041,1756312.07951347,137.604058466332,83.0159677712787,29.6994792583017,229.97,NaN,0,227.03,1,0.000202103875760009,0.765866136614406
triangle,3.21330554036117,10.3908776437659,12.2133913488772,3,1,0,0,0,290.593075984048,8478634.17798657,470.099703785241,286.36323240423,118.269859715258,291.77,NaN,0,289.94,1,0.000261923069694758,0.700279426100696
triangle,3.00926844826814,10.3908776437659,12.2133913488772,3,1,0,1,0,313.849995367159,9777682.75566846,502.650808390993,305.975708286947,128.243950107351,311.54,NaN,0,309.65,1,0.000320333013248002,0.683519107608081
square,3.16887169102182,0,0,4,1,0,0,0,1.41796154709745,15494.0658251339,4.53019626650827,1.39158552724964,0.74886964221248,109.27,NaN,0,17.31,2,0.000421177082184333,0.886650420051272
triangle,3.51974080570131,0,0,4,1,0,1,0,1.24525972107785,10902.2488580366,5.63461610572881,1.26988620087802,0.71684390731636,87.55,NaN,0,2.65,1,0.000488254460910447,0.909471364213823
square,3.3636940566057,2.15706913731772,4.55323797214762,4,1,0,0,0,1.65324930130343,17595.5323137724,3.46323031828185,1.79364902522312,0.703059369334892,106.43,NaN,0,37.85,4,0.00045722103911629,0.888928289641449
square,3.29107796076943,2.15706913731772,4.55323797214762,4,1,0,1,0,1.6729770117447,18310.7333935457,3.19614503478457,1.82058487424138,0.710227144229439,109.45,NaN,0,42.55,4,0.000439101298251185,0.884037984802221
square,4.09972040367266,9.34646103820045,7.89852293682785,4,1,0,0,0,1.61917158646544,15412.8943315645,3.36030705313441,1.54448851390473,1.04352663905619,95.19,NaN,0,38.64,3,0.000614192771980051,0.900095745724063
triangle,4.70606223544379,9.34646103820045,7.89852293682785,4,1,0,1,0,2.51710040644824,19864.9564076895,4.52013901248685,2.85374913955853,1.12735085156133,78.92,NaN,0,52.72,3,0.000736070458348846,0.915226293145893
square,3.80361606750388,11.7547619044614,12.5662476993353,4,1,0,0,0,23.0195026895433,687339.330807074,71.2602098758618,6.91599875295481,26.9372023434207,298.59,NaN,0,263.48,3,0.000126003448575767,0.683061125596883
square,3.47983230710732,11.7547619044614,12.5662476993353,4,1,0,1,0,47.6170580203726,2052628.5200842,183.450019002255,4.11768059570274,66.102419364422,431.07,NaN,0,305.24,2,7.33084184951458e-05,0.550554715003785
square,3.83453413816874,0,0,5,1,0,0,0,2.35833220914372,15326.8010272251,95.6350282301217,0.93629492215138,7.86632084330333,64.99,NaN,0,29.27,3,0.000350484028013687,0.932076232669094
triangle,4.80543221983056,0,0,5,1,0,1,0,1.64426054213123,11698.9137572637,3.83939819178582,1.0461304549976,1.25386221961505,71.15,NaN,0,23.7,1,0.000800875216718547,0.925377777623481
triangle,3.67543881964275,2.4543204623404,2.44626319200009,5,1,0,0,0,2.46238394878071,22488.9526042142,5.78620806227843,1.68498388337171,1.89997946068849,91.33,NaN,0,33.78,1,0.000476631272906843,0.903967367649848
square,3.73849356224043,2.4543204623404,2.44626319200009,5,1,0,1,0,1.74371936412693,16807.7109508195,3.7159013627674,1.66934095942099,1.01789626684857,96.39,NaN,0,27.6,1,0.000560372195011432,0.897675155594867
square,3.48338257182767,8.90126034160569,6.94869418480627,5,1,0,0,0,5.37429424847991,131729.326324491,25.4786334804145,3.61162057873578,5.49761159010291,245.11,NaN,0,222.69,3,0.00017388077792607,0.749527827045309
square,3.19290905033678,8.90126034160569,6.94869418480627,5,1,0,1,0,3.60034740567901,72244.571042355,10.5521120975341,3.2931513030686,1.93475362152031,200.66,NaN,0,148.76,4,0.000206432944231419,0.793972904109875
