Lat,Long,Alt
38.8358478,-77.5056951,83.37
38.8358519,-77.5057003,83.39
38.8358562,-77.5057051,83.39
38.8358607,-77.5057093,83.39
38.8358652,-77.505713,83.37
38.8358698,-77.5057162,83.37
38.8358747,-77.5057191,83.34
38.8358798,-77.5057218,83.31
38.8358851,-77.5057241,83.31
38.8358909,-77.5057263,83.29
38.8358971,-77.5057281,83.27
38.8359038,-77.5057295,83.26
38.8359111,-77.5057302,83.27
38.8359186,-77.5057307,83.26
38.835926,-77.5057313,83.26
38.8359328,-77.5057324,83.3
38.8359392,-77.5057344,83.32
38.8359449,-77.5057371,83.36
38.8359501,-77.5057407,83.39
38.8359547,-77.5057449,83.47
38.8359588,-77.5057498,83.48
38.8359626,-77.5057556,83.54
38.8359659,-77.5057621,83.58
38.8359687,-77.5057693,83.62
38.8359711,-77.5057771,83.68
38.8359733,-77.5057857,83.73
38.8359751,-77.5057949,83.75
38.8359766,-77.5058047,83.73
38.8359777,-77.505815,83.78
38.8359787,-77.5058258,83.81
38.8359794,-77.5058372,83.83
38.8359799,-77.5058491,83.82
38.8359802,-77.5058615,83.81
38.8359802,-77.5058744,83.79
38.8359802,-77.5058878,83.78
38.83598,-77.5059015,83.75
38.8359797,-77.5059155,83.7
38.8359793,-77.5059298,83.69
38.8359788,-77.5059447,83.65
38.835978,-77.5059601,83.6
38.8359771,-77.5059759,83.54
38.8359759,-77.5059921,83.47
38.8359746,-77.5060087,83.39
38.8359731,-77.5060257,83.36
38.8359714,-77.5060428,83.37
38.8359698,-77.5060602,83.36
38.8359682,-77.5060779,83.33
38.8359666,-77.506096,83.28
38.8359647,-77.5061144,83.24
38.8359627,-77.5061333,83.18
38.8359604,-77.5061526,83.14
38.8359578,-77.5061719,83.1
38.835955,-77.5061909,83.04
38.8359523,-77.5062094,83.03
38.8359499,-77.5062272,82.95
38.835948,-77.5062444,82.84
38.8359465,-77.506261,82.73
38.8359452,-77.5062775,82.53
38.835944,-77.5062935,82.37
38.8359433,-77.506309,82.24
38.8359434,-77.506324,82.14
38.835944,-77.5063386,82.03
