Volt,Curr,SOC
23.08245,61.28495,0.01213574
22.9739,68.9614,0.01217989
23.01308,68.43707,0.01218105
23.06379,61.68794,0.01218105
23.13217,60.05185,0.01220417
23.14536,58.92358,0.01222273
23.01438,64.19609,0.01227903
22.95293,69.82101,0.01231764
23.00034,70.07161,0.01229514
23.09053,63.15517,0.01231932
23.1133,60.83537,0.01233316
23.12208,59.0802,0.01233079
23.03419,64.24187,0.01235888
22.73996,85.14259,0.01242097
22.81265,86.79034,0.0123711
22.86978,78.45908,0.01237994
22.873,77.24146,0.01240001
23.08534,63.92049,0.0124342
23.24448,43.99515,0.01236694
23.1614,52.74286,0.01233957
23.04379,64.29188,0.01233957
23.02677,61.64658,0.01233957
23.08938,57.73868,0.0123135
23.13393,55.76906,0.0123138
23.138,56.47727,0.01232783
23.1478,55.79448,0.01234095
23.23786,47.78358,0.01234233
23.25834,44.95777,0.01232795
23.15003,50.79754,0.012277
23.01553,60.73958,0.01233265
23.20869,50.12748,0.01235368
23.34532,37.4052,0.01234897
23.25566,43.10301,0.01232432
23.35067,37.36384,0.01233014
23.36148,31.99474,0.01227523
23.37127,33.11819,0.01225568
23.4146,28.5063,0.0122254
23.62271,11.77873,0.01220446
23.7064,6.177509,0.01220409
23.47557,19.4845,0.01213003
23.13693,56.07648,0.01207756
23.3641,42.16228,0.0119714
23.57998,16.79684,0.01196447
23.38209,28.93098,0.01196447
23.44183,30.41668,0.01199595
23.67401,11.34662,0.01202582
23.4831,22.02036,0.01198278
23.15355,50.85733,0.01200119
23.27232,46.91674,0.01193909
23.60788,18.79497,0.01198974
23.62539,15.77679,0.01201114
23.46371,21.21075,0.01192479
23.24777,43.94736,0.01193671
23.37151,43.34838,0.01182081
23.57893,19.20642,0.011832
23.61834,15.63664,0.01183814
23.35668,32.02305,0.01190603
22.97809,72.56068,0.01185021
23.44475,36.69679,0.01185021
23.55597,20.57563,0.01183853
23.33031,36.043,0.01189397
23.29639,44.33931,0.01187025
23.40774,35.21572,0.01189308
23.45083,27.16578,0.01185536
23.41503,31.28532,0.01183826
23.38416,37.5044,0.01180639
23.46341,27.05373,0.01178528
23.33188,33.86155,0.01185802
22.99997,67.50582,0.01184633
23.11978,65.43494,0.01173427
23.43794,35.26089,0.01178629
23.46013,26.42765,0.01174096
23.29761,43.41284,0.01173833
23.24752,49.03695,0.01171898
23.18699,53.51432,0.0117117
23.2516,50.60859,0.01167276
23.4026,34.56714,0.0116659
23.35656,34.39827,0.01160851
23.25713,46.28905,0.0116143
23.25293,51.12584,0.01156307
23.3218,44.51642,0.01156307
23.33529,36.93353,0.01151156
23.21987,48.344,0.01153699
23.07615,62.78331,0.01153341
23.09813,62.42266,0.01151128
23.2409,50.85135,0.01151128
23.25913,48.041,0.01151977
23.14298,56.21222,0.01153644
23.04592,63.18027,0.0115682
23.0588,62.63511,0.01158722
23.15679,57.12263,0.01156615
23.2099,53.77214,0.01159914
23.1893,52.51776,0.01158872
23.19665,50.24856,0.01155963
23.19404,52.7545,0.0115639
23.16389,56.72345,0.01154337
23.09922,56.73068,0.01159593
23.0979,57.36136,0.01163314
23.12037,60.12414,0.0116052
23.18596,55.53393,0.01164162
23.24388,47.8653,0.01163817
23.25913,46.16094,0.01163039
23.18723,48.1657,0.0115716
23.18468,51.09371,0.0115716
23.18024,54.15144,0.01155072
23.1607,54.0732,0.0115554
23.13083,55.96845,0.01156788
23.22103,51.03809,0.01159326
23.3125,39.12302,0.01156406
23.2268,45.61296,0.01152862
23.07023,60.40264,0.01154298
22.97584,66.70586,0.01157812
23.10128,58.15673,0.01157841
23.25439,44.94653,0.01157834
23.24394,44.48288,0.01156123
22.99839,63.70154,0.01160052
22.83769,76.89487,0.01164109
22.93877,69.05637,0.01166346
22.97128,67.56205,0.01166561
22.95318,68.92211,0.0116698
22.93287,69.81961,0.01168386
22.81137,79.18717,0.01170847
23.19951,52.15111,0.01176545
23.35401,31.75318,0.0117201
23.34289,34.56674,0.01170715
23.35705,33.0694,0.01169301
23.35206,30.88272,0.01164857
23.30475,35.02027,0.01161328
23.28034,42.27472,0.01164876
23.36562,35.78277,0.01168863
23.38719,30.13857,0.01167368
23.19805,45.87701,0.0116918
23.13472,52.39889,0.0116929
23.3007,40.24327,0.0117177
23.30401,38.78566,0.01172344
23.28253,42.23958,0.01174869
23.25913,44.67485,0.01172203
23.1645,48.00064,0.01175985
23.20249,49.48614,0.01173142
23.22309,48.65041,0.01169624
23.19829,49.33212,0.01168518
23.10958,53.73787,0.01171613
23.20632,48.28216,0.01170634
23.29037,41.41913,0.01171849
23.27639,41.8394,0.01171879
23.25609,44.05559,0.01172515
23.2412,43.34637,0.01170543
23.20808,46.97778,0.01171171
23.2075,48.36143,0.0117001
23.2023,50.7118,0.01166641
23.15751,52.53202,0.01166388
23.14426,52.8798,0.01167169
23.12323,53.3093,0.01169543
23.07479,58.29087,0.01170452
23.17775,52.82196,0.01170452
23.32886,39.0255,0.01172207
23.40239,28.04326,0.01167701
23.32945,32.4905,0.01161767
23.22339,43.12671,0.01161767
23.22157,47.76952,0.01158641
23.2736,43.31364,0.01161277
23.22346,42.47953,0.01161277
23.17516,48.00713,0.01163109
23.21452,47.334,0.0116123
23.22862,44.75737,0.01161086
23.18237,50.01905,0.01159607
23.17884,49.86464,0.01158954
23.19531,49.22329,0.01157438
23.17684,46.47298,0.01157438
23.23081,46.69888,0.01160067
23.27004,41.26036,0.01159686
23.33468,34.70288,0.01158142
23.29712,36.91084,0.01155578
23.21476,42.41849,0.01155578
23.22637,46.68542,0.0115246
23.25913,43.8056,0.0115246
23.20395,44.26482,0.0115572
23.21345,46.64707,0.01154444
23.24066,45.95854,0.01154444
23.25378,44.89994,0.01154444
23.18492,48.94881,0.01154569
23.1783,50.04495,0.01154022
23.116,54.10044,0.0115524
23.19064,49.60641,0.01153797
23.31474,39.68445,0.01156034
23.26288,41.76793,0.01154888
23.18395,48.30304,0.01156211
23.17629,50.33269,0.01155607
23.28624,40.32278,0.01155491
23.35237,34.1776,0.01154869
23.24503,43.907,0.01154839
23.10062,55.43674,0.01156028
23.11749,54.60219,0.01156229
23.1741,50.34012,0.01155604
23.18687,49.42369,0.0115485
23.08993,62.27005,0.01148683
23.05747,58.18364,0.01152179
23.06227,55.55622,0.01157813
22.90984,66.45265,0.0116532
22.88524,71.62572,0.01167634
