,lat,lng
585,37.1024504,-76.3868787
586,37.1024487,-76.38688
587,37.1024498,-76.3868812
588,37.1024522,-76.386881
589,37.1024509,-76.3868825
590,37.1024536,-76.3868826
591,37.102452,-76.3868839
592,37.1024552,-76.3868844
593,37.1024534,-76.3868857
594,37.1024571,-76.3868864
595,37.1024551,-76.3868879
596,37.102459,-76.3868889
597,37.1024572,-76.3868902
598,37.1024614,-76.3868918
599,37.1024594,-76.3868928
600,37.102464,-76.3868951
601,37.1024618,-76.3868957
602,37.1024668,-76.3868987
603,37.1024645,-76.3868989
604,37.1024698,-76.3869026
605,37.1024674,-76.3869024
606,37.1024731,-76.3869067
607,37.1024704,-76.3869062
608,37.1024737,-76.3869104
609,37.1024784,-76.3869133
610,37.1024771,-76.3869148
611,37.1024823,-76.3869179
612,37.1024844,-76.3869203
613,37.1024865,-76.3869229
614,37.1024845,-76.3869246
615,37.1024908,-76.3869283
616,37.1024888,-76.3869298
617,37.1024954,-76.386934
618,37.1024934,-76.3869353
619,37.1025005,-76.38694
620,37.1024982,-76.3869412
621,37.1025057,-76.3869461
622,37.1025033,-76.3869472
623,37.1025112,-76.3869528
624,37.1025084,-76.3869533
625,37.1025169,-76.3869596
626,37.1025139,-76.3869599
627,37.1025228,-76.3869667
628,37.1025196,-76.3869666
629,37.102529,-76.386974
630,37.1025254,-76.3869737
631,37.1025355,-76.3869814
632,37.1025387,-76.3869852
633,37.102542,-76.386989
634,37.1025454,-76.3869929
635,37.1025487,-76.3869968
636,37.1025521,-76.3870007
637,37.1025504,-76.3870031
638,37.1025589,-76.3870086
639,37.1025569,-76.3870107
640,37.1025658,-76.3870168
641,37.1025636,-76.3870187
642,37.1025728,-76.387025
643,37.1025706,-76.3870269
644,37.1025801,-76.3870337
645,37.1025778,-76.387035
646,37.1025875,-76.3870424
647,37.1025853,-76.3870434
648,37.1025952,-76.387051
649,37.1025928,-76.3870518
650,37.1026029,-76.3870599
651,37.1026001,-76.3870603
652,37.1026107,-76.3870686
653,37.1026076,-76.3870691
654,37.1026184,-76.3870775
655,37.1026152,-76.3870779
656,37.1026231,-76.3870867
657,37.1026302,-76.3870912
658,37.1026342,-76.3870957
659,37.1026384,-76.3871005
660,37.1026426,-76.3871053
661,37.1026467,-76.3871099
662,37.1026471,-76.3871134
663,37.1026549,-76.3871193
664,37.1026549,-76.3871223
665,37.1026631,-76.3871286
666,37.1026628,-76.3871314
667,37.1026713,-76.3871382
668,37.1026704,-76.3871406
669,37.1026792,-76.3871476
670,37.102678,-76.3871498
671,37.1026871,-76.3871571
672,37.1026857,-76.3871589
673,37.1026949,-76.3871666
674,37.1026932,-76.387168
675,37.1027028,-76.3871761
676,37.1027006,-76.3871771
677,37.1027105,-76.3871857
678,37.1027081,-76.3871864
679,37.1027182,-76.3871954
680,37.1027155,-76.3871957
681,37.1027231,-76.3872051
682,37.1027299,-76.38721
683,37.1027308,-76.3872144
684,37.1027378,-76.3872197
685,37.1027384,-76.3872236
686,37.1027458,-76.3872293
687,37.1027461,-76.3872329
688,37.1027538,-76.3872389
689,37.1027538,-76.3872423
690,37.102762,-76.3872485
691,37.1027615,-76.3872517
692,37.1027703,-76.3872583
693,37.1027693,-76.3872611
694,37.1027787,-76.3872682
695,37.1027772,-76.3872707
696,37.1027869,-76.3872779
697,37.1027852,-76.3872801
698,37.1027953,-76.387288
699,37.1027933,-76.3872894
700,37.1028037,-76.3872979
701,37.1028015,-76.3872987
702,37.1028097,-76.3873081
703,37.1028165,-76.3873126
704,37.1028177,-76.3873176
705,37.1028251,-76.3873225
706,37.1028259,-76.3873269
707,37.1028338,-76.3873326
708,37.1028342,-76.3873363
709,37.1028424,-76.3873425
710,37.1028424,-76.3873458
711,37.1028512,-76.3873526
712,37.102851,-76.3873554
713,37.1028599,-76.3873627
714,37.1028596,-76.387365
715,37.1028689,-76.3873727
716,37.1028681,-76.3873747
717,37.1028779,-76.3873828
718,37.102877,-76.3873845
719,37.102887,-76.387393
720,37.1028858,-76.3873941
721,37.1028963,-76.3874033
722,37.1028945,-76.3874038
723,37.1029054,-76.3874135
724,37.1029032,-76.3874135
725,37.1029117,-76.3874233
726,37.1029189,-76.3874287
727,37.1029201,-76.3874331
728,37.1029278,-76.3874387
729,37.1029286,-76.387443
730,37.1029366,-76.3874489
731,37.1029371,-76.3874531
732,37.1029453,-76.3874591
733,37.1029455,-76.3874631
734,37.1029543,-76.3874696
735,37.1029541,-76.3874729
736,37.102963,-76.38748
737,37.1029628,-76.3874827
738,37.1029718,-76.3874904
739,37.1029711,-76.3874925
740,37.1029805,-76.3875006
741,37.1029795,-76.3875021
742,37.1029888,-76.3875105
743,37.1029874,-76.3875114
744,37.1029968,-76.3875199
745,37.102995,-76.3875204
746,37.1030042,-76.3875289
747,37.1030021,-76.387529
748,37.103009,-76.3875371
749,37.1030148,-76.3875416
750,37.1030156,-76.3875448
751,37.1030216,-76.3875493
752,37.1030219,-76.3875523
753,37.1030282,-76.3875568
754,37.1030281,-76.3875595
755,37.1030346,-76.387564
756,37.1030339,-76.3875663
757,37.1030405,-76.3875708
758,37.1030393,-76.3875727
759,37.103046,-76.3875773
760,37.1030445,-76.3875787
761,37.1030511,-76.3875833
762,37.1030495,-76.3875843
763,37.1030559,-76.3875887
764,37.1030539,-76.3875895
765,37.1030604,-76.3875937
766,37.1030582,-76.3875943
767,37.1030646,-76.3875983
768,37.1030622,-76.3875987
769,37.1030659,-76.3876028
770,37.1030705,-76.3876042
771,37.1030692,-76.3876065
772,37.103074,-76.3876076
773,37.1030724,-76.3876097
774,37.1030771,-76.3876106
775,37.1030752,-76.3876125
776,37.1030798,-76.387613
